Mario Maker Creation Suite,Games Hall,0,930,Video Game/Wii U
Fifa 16,Games Hall,0,960,Video Game/Football
Comic vs. Manga,Main Stage,0,960,Panel
Kickstarters & Crowdfunding,Main Stage,0,1020,Panel/Green Ronin/Chris Pramas
The Marvelous Spider Man,Theatre,0,930,Screening/Marvel
Elemental Car Wash,Theatre,0,975,Screening/Stick Freaks/Animated
Pokemon20 - AMV Showcase,Theatre,0,1010,Screening/Recording/Anime
Jackdaw,Theatre,0,1050,Screening/Movie
Free play,Upper Rooms,0,900,Card Games/TCG/CCG
Open Demos,Upper Rooms,0,900,RPG/Free
Yu-Gi-Oh Boss Duel,Upper Rooms,0,960,Card Games/TCG/CCG
Warhammer 40k,Games Hall,1,600,WarGaming/Games/Games workshop
Hearthstone,Games Hall,1,660,Card Games/TCG/CCG
X-Wing,Games Hall,1,660,WarGaming/Star wars/Space/Games workshop
Super Smash Bros.,Games Hall,1,720,Video Games/Mario/Luigi/Link/Zelda/Nintendo/Wii U
Rocket League,Games Hall,1,780,Video Games/Soccer/Football/Cars
Mortal Kombat X,Games Hall,1,900,Video Games/Fighting/Scorpion/Sub-zero/Alien
Pokemon,Games Hall,1,960,Video Games/Nintendo/3DS/Pikachu
Ace Attorney,Theatre,1,600,Screening/Law/Anime
Kiznaiver,Theatre,1,660,Screening/Anime
ReZero,Theatre,1,720,Screening/Anime
FLCL,Theatre,1,780,Screening/Anime
ERASED,Theatre,1,840,Screening/Anime
Ef: Tale of Memories,Theatre,1,900,Screening/Anime
Bungou  Stray Dogs,Theatre,1,960,Screening/Anime
Lunar Legend,Theatre,1,1020,Screening/Anime
Serial Experiements Lain,Theatre,1,1080,Screening/Anime
Dread,Upper Rooms,1,660,RPG/Jenga Tower/Horror
Magic,Upper Rooms,1,660,Card Games/TCG/CCG/Draft
Netrunner,Upper Rooms,1,660,Card Games/TCG/CCG/Hacking
Yu-Gi-Oh,Upper Rooms,1,660,Card Games/TCG/CCG
Warhammer Only War,Upper Rooms,1,720,RPG/John Falon/Games workshop
Fantasy AGE: Freeport,Upper Rooms,1,900,RPG/Chris Pramas/Dragon age/System/D6
Gran Turismo,Games Hall,2,660,Video Games/Driving/Race/Event
Just Dance,Games Hall,2,660,Video Games/Dancing/Music/Fun/Exercise
Warhammer 40k,Games Hall,2,660,WarGaming/Games/Games workshop
Street Fighter V,Games Hall,2,720,Video Games/Fighting/Ryu/Ken/Chun-li
Mario Kart 8,Games Hall,2,840,Video Games/Driving/Race/Event/Nintendo/Wii U
Ultimate Marvel v Capcom 3,Games Hall,2,900,Video Games/Fighting/Iron Man/Ryu
Mr. Osomatsu,Theatre,2,660,Screening
Rosen Maiden,Theatre,2,720,Screening
Beautiful Bones,Theatre,2,780,Screening
Desert Punk,Theatre,2,840,Screening
H20,Theatre,2,900,Screening
Blade of Tempest,Theatre,2,960,Screening
Trinity Blood,Theatre,2,1020,Screening
Game of Thrones,Upper Rooms,2,660,
Yu-Gi-Oh,Upper Rooms,2,660,Card Games/TCG/CCG
D&D,Upper Rooms,2,660,RPG/Jason Fahy/D20/Combat
Pokemon TCG,Upper Rooms,2,720,Card Games/TCG/CCG/Nintendo/Pikachu
Homebrew RPG,Upper Rooms,2,750,RPG/Jason Fahy/D12/Magical
Fantasy AGE: Freeport,Upper Rooms,2,870,RPG/Chris Pramas/Dragon age/System/D6
